Fecha;Ciclo;Comercializador;Mercado;Nivel_Tension;Dueño_Red;G;T;D;Cv;PR;R;CU
2026-01-01;202601;CENS;CENS;1;100% OPERADOR;298,9047;52,9743;317,1201;132,3776;67,348;19,3343;888,059
2026-01-01;202601;CENS;CENS;2;100% OPERADOR;298,9047;52,9743;198,4778;120,1964;23,0861;19,3343;712,9736
2026-01-01;202601;CENS;CENS;3;100% OPERADOR;298,9047;52,9743;88,9777;121,7416;23,5973;19,3343;605,5299
2026-01-01;202601;CENS;CENS;4;100% OPERADOR;298,9047;52,9743;35,2509;85,2814;13,2552;19,3343;505,0008
2026-02-01;202602;CENS;CENS;1;100% OPERADOR;271,7857;50,6152;307,0274;149,8231;61,9511;21,6295;862,832
2026-02-01;202602;CENS;CENS;2;100% OPERADOR;271,7857;50,6152;196,9665;123,8101;21,3698;21,6295;686,1768
2026-02-01;202602;CENS;CENS;3;100% OPERADOR;271,7857;50,6152;88,9525;98,2278;21,864;21,6295;553,0747
2026-02-01;202602;CENS;CENS;4;100% OPERADOR;271,7857;50,6152;35,5022;89,4042;12,3567;21,6295;481,2935
2026-03-01;202603;CENS;CENS;1;100% OPERADOR;306,5637;57,632;300,5045;158,9335;71,1731;31,0329;925,8397
2026-03-01;202603;CENS;CENS;2;100% OPERADOR;306,5637;57,632;246,2446;124,1647;71,1731;31,0329;871,5798
2026-03-01;202603;CENS;CENS;3;100% OPERADOR;306,5637;57,632;200,5713;98,1433;25,1395;31,0329;745,1041
2026-03-01;202603;CENS;CENS;4;100% OPERADOR;306,5637;57,632;92,1965;93,8464;25,5844;31,0329;611,1528
2026-04-01;202604;CENS;CENS;1;100% OPERADOR;303,7033;55,9536;315,7034;147,1273;64,2617;29,1458;915,8951
2026-04-01;202604;CENS;CENS;2;100% OPERADOR;303,7033;55,9536;206,071;124,0702;21,6337;29,1458;740,5776
2026-04-01;202604;CENS;CENS;3;100% OPERADOR;303,7033;55,9536;90,6662;98,844;22,1721;29,1458;600,485
2026-04-01;202604;CENS;CENS;4;100% OPERADOR;303,7033;55,9536;34,053;95,9105;12,0234;29,1458;530,7896
