ID OR;OPERADOR DE RED;ID SIC  COMERCIALIZADOR;COMERCIALIZADOR;Nivel;Tipo Red;Comb, NT;Dueño Red;Hora; Gm,i,j ; PR n,m,i,j ; Tm ; Dn,m ; Cv m,i,j ; Rm,i ; (CUv n,m,i,j)  
4;CEDELCA;CDIC;CEDELCA;1;AEREA;NIVEL 1-2;100% OPERADOR;25;296,8074;65,7922; 55,9536 ;277,5855;205,3295;26,2975; 927,7657 
4;CEDELCA;CDIC;CEDELCA;1;AEREA;NIVEL 1-2;100% USUARIO;25; 296,8074 ; 65,7922 ; 55,9536 ; 185,7270 ; 205,3295 ; 26,2975 ; 835,9072 
4;CEDELCA;CDIC;CEDELCA;2;N/A;N/A;N/A;25; 296,8074 ;26,5586; 55,9536 ;165,3711; 205,3295 ; 26,2975 ; 776,3177 
4;CEDELCA;CDIC;CEDELCA;3;N/A;N/A;N/A;25; 296,8074 ;22,6035; 55,9536 ;96,6989; 205,3295 ; 26,2975 ; 703,6904 
4;CEDELCA;CDIC;CEDELCA;4;N/A;N/A;N/A;25; 296,8074 ;16,2012; 55,9536 ;34,053; 205,3295 ; 26,2975 ; 634,6422 
83;CARIBEMAR;CDIC;CEDELCA;1;AEREA;NIVEL 1-2;100% OPERADOR;25;325,2565;67,2229; 55,9536 ;177,4803;212,11;38,72; 876,7433 
83;CARIBEMAR;CDIC;CEDELCA;1;AEREA;NIVEL 1-2;50% OPERADOR;25; 325,2565 ; 67,2229 ; 55,9536 ;162,5381; 212,1100 ; 38,7200 ; 861,8011 
83;CARIBEMAR;CDIC;CEDELCA;1;AEREA;NIVEL 1-2;100% USUARIO;25; 325,2565 ; 67,2229 ; 55,9536 ;147,5959; 212,1100 ; 38,7200 ; 846,8589 
83;CARIBEMAR;CDIC;CEDELCA;2;N/A;N/A;N/A;25; 325,2565 ;13,6352; 55,9536 ;123,1534;190,98; 38,7200 ; 747,6987 
83;CARIBEMAR;CDIC;CEDELCA;3;N/A;N/A;N/A;25; 325,2565 ;10,7185; 55,9536 ;92,7612;135,27; 38,7200 ; 658,6798 
83;CARIBEMAR;CDIC;CEDELCA;4;N/A;N/A;N/A;25; 325,2565 ;0,6925; 55,9536 ;39,8413;135,27; 38,7200 ; 595,7339 
82;CARIBESOL;CDIC;CEDELCA;1;AEREA;NIVEL 1-2;100% OPERADOR;25;325,2565;79,6467; 55,9536 ;127,3434;160,35;40,45; 789,0002 
82;CARIBESOL;CDIC;CEDELCA;1;AEREA;NIVEL 1-2;50% OPERADOR;25; 325,2565 ; 79,6467 ; 55,9536 ;115,9866; 160,3500 ; 40,4500 ; 777,6434 
82;CARIBESOL;CDIC;CEDELCA;1;AEREA;NIVEL 1-2;100% USUARIO;25; 325,2565 ; 79,6467 ; 55,9536 ;104,6299; 160,3500 ; 40,4500 ; 766,2867 
82;CARIBESOL;CDIC;CEDELCA;2;N/A;N/A;N/A;25; 325,2565 ;25,4346; 55,9536 ;85,9238;124,36; 40,4500 ; 657,3785 
82;CARIBESOL;CDIC;CEDELCA;3;N/A;N/A;N/A;25; 325,2565 ;21,7533; 55,9536 ;63,4522; 124,3600 ; 40,4500 ; 631,2256 
82;CARIBESOL;CDIC;CEDELCA;4;N/A;N/A;N/A;25; 325,2565 ;11,6846; 55,9536 ;39,8413; 124,3600 ; 40,4500 ; 597,5460 
81;CODENSA-EEC;CDIC;CEDELCA;1;AEREA;NIVEL 1-2;100% OPERADOR;25;325,2565;64,9507; 55,9536 ;288,0311;83,649;28,0551; 845,8960 
81;CODENSA-EEC;CDIC;CEDELCA;1;AEREA;NIVEL 1-2;50% OPERADOR;25; 325,2565 ; 64,9507 ; 55,9536 ;263,1675; 83,6490 ; 28,0551 ; 821,0324 
81;CODENSA-EEC;CDIC;CEDELCA;1;AEREA;NIVEL 1-2;100% USUARIO;25; 325,2565 ; 64,9507 ; 55,9536 ;238,304; 83,6490 ; 28,0551 ; 796,1689 
81;CODENSA-EEC;CDIC;CEDELCA;2;N/A;N/A;N/A;25; 325,2565 ;22,0899; 55,9536 ;186,4289; 83,6490 ; 28,0551 ; 701,4330 
81;CODENSA-EEC;CDIC;CEDELCA;3;N/A;N/A;N/A;25; 325,2565 ;21,4502; 55,9536 ;117,2929; 83,6490 ; 28,0551 ; 631,6573 
81;CODENSA-EEC;CDIC;CEDELCA;4;N/A;N/A;N/A;25; 325,2565 ;13,2249; 55,9536 ;34,053; 83,6490 ; 28,0551 ; 540,1921 
45;EMCALI;CDIC;CEDELCA;1;AEREA;NIVEL 1-2;100% OPERADOR;25;325,2565;53,5582; 55,9536 ;277,5855;69,6211;29,7003; 811,6752 
45;EMCALI;CDIC;CEDELCA;1;AEREA;NIVEL 1-2;50% OPERADOR;25; 325,2565 ; 53,5582 ; 55,9536 ;261,9389; 69,6211 ; 29,7003 ; 796,0286 
