Fecha;Ciclo;Operador_Red;Comercializador;Nivel_Tension;Tipo_Red;Comb_NT;Dueno_Red;G;T;D;Cv;PR;R;CU
2025-01-01;202501;AFINIA;AFINIA;1;;;100% OPERADOR;368,69;56,03;213,88;220,37;161,13;4,7;1024,8
2025-01-01;202501;AFINIA;AFINIA;2;;;100% OPERADOR;368,69;56,03;136,13;199,18;46,48;4,7;811,22
2025-01-01;202501;AFINIA;AFINIA;3;;;100% OPERADOR;368,69;56,03;105,43;135,28;32,77;4,7;702,9
2025-01-01;202501;AFINIA;AFINIA;4;;;100% OPERADOR;368,69;56,03;47,88;135,28;17,45;4,7;630,04
2025-02-01;202502;AFINIA;AFINIA;1;;;100% OPERADOR;346,28;49,85;216,31;223,53;150,58;19,05;1005,6
2025-02-01;202502;AFINIA;AFINIA;2;;;100% OPERADOR;346,28;49,85;137,76;200,17;43,68;19,05;796,78
2025-02-01;202502;AFINIA;AFINIA;3;;;100% OPERADOR;346,28;49,85;106,86;139,37;30,9;19,05;692,31
2025-02-01;202502;AFINIA;AFINIA;4;;;100% OPERADOR;346,28;49,85;48,82;139,37;16,61;19,05;619,98
2025-03-01;202503;AFINIA;AFINIA;1;;;100% OPERADOR;329,11;56,28;222,01;220,51;147,85;32,78;1008,54
2025-03-01;202503;AFINIA;AFINIA;2;;;100% OPERADOR;329,11;56,28;142,38;199,27;43,44;32,78;803,24
2025-03-01;202503;AFINIA;AFINIA;3;;;100% OPERADOR;329,11;56,28;111,34;136,34;30,97;32,78;696,82
2025-03-01;202503;AFINIA;AFINIA;4;;;100% OPERADOR;329,11;56,28;53,05;136,34;17,02;32,78;624,57
2025-04-01;202504;AFINIA;AFINIA;1;;;100% OPERADOR;284,33;62,2;214,71;238,5;124,22;68,82;992,77
2025-04-01;202504;AFINIA;AFINIA;2;;;100% OPERADOR;284,33;62,2;139,86;215,38;38,19;68,82;808,78
2025-04-01;202504;AFINIA;AFINIA;3;;;100% OPERADOR;284,33;62,2;108,92;152,63;28,1;68,82;705,01
2025-04-01;202504;AFINIA;AFINIA;4;;;100% OPERADOR;284,33;62,2;53,13;152,63;16,24;68,82;637,35
2025-05-01;202505;AFINIA;AFINIA;1;;;100% OPERADOR;274,36;56,76;204,81;234,72;117,15;62,49;950,28
2025-05-01;202505;AFINIA;AFINIA;2;;;100% OPERADOR;274,36;56,76;131,71;207,96;35,55;62,49;768,82
2025-05-01;202505;AFINIA;AFINIA;3;;;100% OPERADOR;274,36;56,76;99,82;148,87;25,97;62,49;668,26
2025-05-01;202505;AFINIA;AFINIA;4;;;100% OPERADOR;274,36;56,76;44,25;148,87;14,7;62,49;601,42
2025-06-01;202506;AFINIA;AFINIA;1;;;100% OPERADOR;274,18;54,69;187,68;221,18;99,46;54,84;892,02
2025-06-01;202506;AFINIA;AFINIA;2;;;100% OPERADOR;274,18;54,69;118,04;197,42;18,36;54,84;717,52
2025-06-01;202506;AFINIA;AFINIA;3;;;100% OPERADOR;274,18;54,69;86,82;138,49;8,85;54,84;617,87
2025-06-01;202506;AFINIA;AFINIA;4;;;100% OPERADOR;274,18;54,69;32,2;138,49;-2,35;54,84;552,05
2025-07-01;202507;AFINIA;AFINIA;1;;;100% OPERADOR;277,42;53,84;200,73;208,86;99,75;68,46;909,06
2025-07-01;202507;AFINIA;AFINIA;2;;;100% OPERADOR;277,42;53,84;128,88;187,01;18,21;68,46;733,82
2025-07-01;202507;AFINIA;AFINIA;3;;;100% OPERADOR;277,42;53,84;97,5;128,25;8,64;68,46;634,11
2025-07-01;202507;AFINIA;AFINIA;4;;;100% OPERADOR;277,42;53,84;42,87;128,25;-2,62;68,46;568,22
2025-08-01;202508;AFINIA;AFINIA;1;;;100% OPERADOR;273,61;56,93;197,64;207,88;100,01;67,77;903,85
2025-08-01;202508;AFINIA;AFINIA;2;;;100% OPERADOR;273,61;56,93;126,29;189,46;18,47;67,77;732,54
2025-08-01;202508;AFINIA;AFINIA;3;;;100% OPERADOR;273,61;56,93;94,8;130,25;8,9;67,77;632,27
2025-08-01;202508;AFINIA;AFINIA;4;;;100% OPERADOR;273,61;56,93;39,83;130,25;-2,36;67,77;566,04
2025-09-01;202509;AFINIA;AFINIA;1;;;100% OPERADOR;292,51;51,66;198,85;214,74;105,69;42,78;906,23
2025-09-01;202509;AFINIA;AFINIA;2;;;100% OPERADOR;292,51;51,66;127,31;192,68;20,43;42,78;727,37
2025-09-01;202509;AFINIA;AFINIA;3;;;100% OPERADOR;292,51;51,66;95,7;133,3;10,42;42,78;626,37
2025-09-01;202509;AFINIA;AFINIA;4;;;100% OPERADOR;292,51;51,66;40,64;133,3;-1,34;42,78;559,55
2025-10-01;202510;AFINIA;AFINIA;1;;;100% OPERADOR;299,51;52,97;200,76;207,59;108,7;34,8;904,32
2025-10-01;202510;AFINIA;AFINIA;2;;;100% OPERADOR;299,51;52,97;128,87;187,22;21,33;34,8;724,7
2025-10-01;202510;AFINIA;AFINIA;3;;;100% OPERADOR;299,51;52,97;97,12;130,14;11,06;34,8;625,6
2025-10-01;202510;AFINIA;AFINIA;4;;;100% OPERADOR;299,51;52,97;42,03;130,14;-0,99;34,8;558,46
2025-11-01;202511;AFINIA;AFINIA;1;;;100% OPERADOR;285,05;53,3;200,45;211,87;103,88;42,92;897,47
2025-11-01;202511;AFINIA;AFINIA;2;;;100% OPERADOR;285,05;53,3;129,01;187,61;20,01;42,92;717,9
2025-11-01;202511;AFINIA;AFINIA;3;;;100% OPERADOR;285,05;53,3;97,62;132,49;10,16;42,92;621,55
2025-11-01;202511;AFINIA;AFINIA;4;;;100% OPERADOR;285,05;53,3;42,92;132,49;-1,41;42,92;555,28
2026-01-01;202601;AFINIA;AFINIA;1;;;100% OPERADOR;288,31;52,97;196,05;206,64;107,01;25,04;876,02
2026-01-01;202601;AFINIA;AFINIA;2;;;100% OPERADOR;288,31;52,97;126,23;186,51;22,13;25,04;701,19
2026-01-01;202601;AFINIA;AFINIA;3;;;100% OPERADOR;288,31;52,97;95,59;129,43;12,18;25,04;603,52
