Fecha;Ciclo;Operador_Red;Comercializador;Nivel_Tension;Tipo_Red;Comb_NT;Dueno_Red;G;T;D;Cv;PR;R;CU
2025-01-01;202501;ANTIOQUIA;BIA;1;SDL;NT1;100% OPERADOR;367,5891;56,0327;292,1103;27,8362;74,2648;4,6744;822,5074
2025-01-01;202501;BOGOTÁ;BIA;1;SDL;NT1;100% OPERADOR;370,5134;56,0327;280,9065;28,5941;72,1109;4,6744;812,832
2025-01-01;202501;BOYACÁ;BIA;1;SDL;NT1;100% OPERADOR;341,608;56,0327;280,9065;28,7212;75,134;4,6744;787,0767
2025-01-01;202501;CALDAS;BIA;1;SDL;NT1;100% OPERADOR;349,9524;56,0327;292,1103;30,2779;66,5594;4,6744;799,6071
2025-01-01;202501;CALI;BIA;1;SDL;NT1;100% OPERADOR;368,2782;56,0327;257,7423;27,3935;67,664;4,6744;781,7852
2025-01-01;202501;CARIBE MAR;BIA;1;SDL;NT1;100% OPERADOR;363,0196;56,0327;213,8783;29,5303;158,7575;4,6744;825,8929
2025-01-01;202501;CARIBE SOL;BIA;1;SDL;NT1;100% OPERADOR;363,0125;56,0327;174,6835;26,5204;104,2618;4,6744;729,1853
2025-01-01;202501;CARTAGO;BIA;1;SDL;NT1;100% OPERADOR;372,9486;56,0327;257,7423;30,1139;92,4491;4,6744;813,961
2025-01-01;202501;CASANARE;BIA;1;SDL;NT1;100% OPERADOR;341,6095;56,0327;249,0104;28,1251;84,2741;4,6744;763,7261
2025-01-01;202501;CAUCA;BIA;1;SDL;NT1;100% OPERADOR;347,0203;56,0327;257,7423;31,2566;79,2825;4,6744;776,0088
2025-01-01;202501;CUNDINAMARCA;BIA;1;SDL;NT1;100% OPERADOR;370,5134;56,0327;280,9065;28,5941;72,1109;4,6744;812,832
2025-01-01;202501;HUILA;BIA;1;SDL;NT1;100% OPERADOR;354,2707;56,0327;280,9065;31,1483;83,9423;4,6744;810,9749
2025-01-01;202501;META;BIA;1;SDL;NT1;100% OPERADOR;358,266;56,0327;249,0104;28,029;65,7021;4,6744;761,7145
2025-01-01;202501;NARIÑO;BIA;1;SDL;NT1;100% OPERADOR;328,3376;56,0327;257,7423;30,8653;64,1967;4,6744;741,849
2025-01-01;202501;NORTE SANTANDER;BIA;1;SDL;NT1;100% OPERADOR;357,5152;56,0327;292,1103;27,1175;79,1292;4,6744;816,5793
2025-01-01;202501;PEREIRA;BIA;1;SDL;NT1;100% OPERADOR;372,3146;56,0327;292,1103;27,4586;66,6026;4,6744;819,1931
2025-01-01;202501;QUINDÍO;BIA;1;SDL;NT1;100% OPERADOR;365,6732;56,0327;292,1103;28,9884;68,4566;4,6744;815,9355
2025-01-01;202501;RISARALDA;BIA;1;SDL;NT1;100% OPERADOR;372,3146;56,0327;292,1103;27,4586;66,6026;4,6744;819,1931
2025-01-01;202501;SANTANDER;BIA;1;SDL;NT1;100% OPERADOR;359,3459;56,0327;292,1103;31,1015;77,7319;4,6744;820,9967
2025-01-01;202501;TOLIMA;BIA;1;SDL;NT1;100% OPERADOR;352,7534;56,0327;280,9065;27,5114;95,1003;4,6744;816,9786
2025-01-01;202501;TULUA;BIA;1;SDL;NT1;100% OPERADOR;369,5408;56,0327;257,7423;29,5025;66,2281;4,6744;783,7208
2025-01-01;202501;VALLE;BIA;1;SDL;NT1;100% OPERADOR;358,4145;56,0327;257,7423;28,4243;68,0928;4,6744;773,3809
2025-01-01;202501;YUMBO;BIA;1;SDL;NT1;100% OPERADOR;368,2782;56,0327;257,7423;27,3935;67,664;4,6744;781,7852
2025-01-01;202501;ANTIOQUIA;BIA;2;SDL;NT2;100% OPERADOR;367,5891;56,0327;186,892;27,8362;22,3559;4,6744;665,3802
2025-01-01;202501;BOGOTÁ;BIA;2;SDL;NT2;100% OPERADOR;370,5134;56,0327;168,8021;28,5941;24,1741;4,6744;652,7908
2025-01-01;202501;BOYACÁ;BIA;2;SDL;NT2;100% OPERADOR;341,608;56,0327;168,8021;28,7212;21,4055;4,6744;621,2438
2025-01-01;202501;CALDAS;BIA;2;SDL;NT2;100% OPERADOR;349,9524;56,0327;186,892;30,2779;30,1572;4,6744;657,9865
2025-01-01;202501;CALI;BIA;2;SDL;NT2;100% OPERADOR;368,2782;56,0327;153,3319;27,3935;29,2444;4,6744;638,9551
2025-01-01;202501;CARIBE MAR;BIA;2;SDL;NT2;100% OPERADOR;363,0196;56,0327;136,1317;29,5303;45,7511;4,6744;635,1399
2025-01-01;202501;CARIBE SOL;BIA;2;SDL;NT2;100% OPERADOR;363,0125;56,0327;116,2714;26,5204;44,5739;4,6744;611,0853
2025-01-01;202501;CARTAGO;BIA;2;SDL;NT2;100% OPERADOR;372,9486;56,0327;153,3319;30,1139;31,2271;4,6744;648,3285
2025-01-01;202501;CASANARE;BIA;2;SDL;NT2;100% OPERADOR;341,6095;56,0327;171,4121;28,1251;34,6621;4,6744;636,5159
2025-01-01;202501;CAUCA;BIA;2;SDL;NT2;100% OPERADOR;347,0203;56,0327;153,3319;31,2566;30,7515;4,6744;623,0673
2025-01-01;202501;CUNDINAMARCA;BIA;2;SDL;NT2;100% OPERADOR;370,5134;56,0327;168,8021;28,5941;24,1741;4,6744;652,7908
2025-01-01;202501;HUILA;BIA;2;SDL;NT2;100% OPERADOR;354,2707;56,0327;168,8021;31,1483;31,0579;4,6744;645,9861
2025-01-01;202501;META;BIA;2;SDL;NT2;100% OPERADOR;358,266;56,0327;171,4121;28,029;29,7862;4,6744;648,2003
2025-01-01;202501;NARIÑO;BIA;2;SDL;NT2;100% OPERADOR;328,3376;56,0327;153,3319;30,8653;21,9095;4,6744;595,1513
2025-01-01;202501;NORTE SANTANDER;BIA;2;SDL;NT2;100% OPERADOR;357,5152;56,0327;186,892;27,1175;25,0021;4,6744;657,2338
2025-01-01;202501;PEREIRA;BIA;2;SDL;NT2;100% OPERADOR;372,3146;56,0327;186,892;27,4586;27,3538;4,6744;674,726
2025-01-01;202501;QUINDÍO;BIA;2;SDL;NT2;100% OPERADOR;365,6732;56,0327;186,892;28,9884;28,8847;4,6744;671,1454
2025-01-01;202501;RISARALDA;BIA;2;SDL;NT2;100% OPERADOR;372,3146;56,0327;186,892;27,4586;27,3538;4,6744;674,726
2025-01-01;202501;SANTANDER;BIA;2;SDL;NT2;100% OPERADOR;359,3459;56,0327;186,892;31,1015;28,3882;4,6744;666,4347
2025-01-01;202501;TOLIMA;BIA;2;SDL;NT2;100% OPERADOR;352,7534;56,0327;168,8021;27,5114;41,4591;4,6744;651,2331
2025-01-01;202501;TULUA;BIA;2;SDL;NT2;100% OPERADOR;369,5408;56,0327;153,3319;29,5025;27,9483;4,6744;641,0306
2025-01-01;202501;VALLE;BIA;2;SDL;NT2;100% OPERADOR;358,4145;56,0327;153,3319;28,4243;28,6719;4,6744;629,5495
2025-01-01;202501;YUMBO;BIA;2;SDL;NT2;100% OPERADOR;368,2782;56,0327;153,3319;27,3935;29,2444;4,6744;638,9551
