Fecha;Ciclo;Operador_Red;Comercializador;Nivel_Tension;Tipo_Red;Comb_NT;Dueno_Red;G;T;D;Cv;PR;R;CU
2025-01-01;202501;EMCALI;EMCALI;1;SDL;NT1;100% OPERADOR;415,4435;56,0326;257,7423;69,5888;74,8963;5,6759;879,3794
2025-01-01;202501;EMCALI;EMCALI;2;SDL;NT2;100% OPERADOR;415,4435;56,0326;153,3318;69,5888;32,1729;5,6759;732,2455
2025-01-01;202501;EMCALI;EMCALI;3;SDL;NT3;100% OPERADOR;415,4435;56,0326;91,7166;69,5888;29,3214;5,6759;667,7788
2025-02-01;202502;EMCALI;EMCALI;1;SDL;NT1;100% OPERADOR;401,6921;49,8467;269,919;70,9751;71,2439;14,4009;878,0777
2025-02-01;202502;EMCALI;EMCALI;2;SDL;NT2;100% OPERADOR;401,6921;49,8467;162,5803;70,9751;30,3882;14,4009;729,8833
2025-02-01;202502;EMCALI;EMCALI;3;SDL;NT3;100% OPERADOR;401,6921;49,8467;95,1265;70,9751;27,6596;14,4009;659,7009
2025-03-01;202503;EMCALI;EMCALI;1;SDL;NT1;100% OPERADOR;372,7019;56,2769;276,9272;71,1782;69,7461;23,0777;869,908
2025-03-01;202503;EMCALI;EMCALI;2;SDL;NT2;100% OPERADOR;372,7019;56,2769;165,5405;71,1782;30,7317;23,0777;719,5069
2025-03-01;202503;EMCALI;EMCALI;3;SDL;NT3;100% OPERADOR;372,7019;56,2769;98,7143;71,1782;28,1233;23,0777;650,0723
2025-04-01;202504;EMCALI;EMCALI;1;SDL;NT1;100% OPERADOR;290,4854;62,1954;265,2619;71,7677;50,065;40,6752;780,4506
2025-04-01;202504;EMCALI;EMCALI;2;SDL;NT2;100% OPERADOR;290,4854;62,1954;153,457;71,7677;23,2637;40,6752;641,8444
2025-04-01;202504;EMCALI;EMCALI;3;SDL;NT3;100% OPERADOR;290,4854;62,1954;94,9269;71,7677;21,7663;40,6752;581,8169
2025-05-01;202505;EMCALI;EMCALI;1;SDL;NT1;100% OPERADOR;267,4359;56,7575;261,0379;69,6003;45,5674;42,5597;742,9587
2025-05-01;202505;EMCALI;EMCALI;2;SDL;NT2;100% OPERADOR;267,4359;56,7575;153,1842;69,6003;21,0239;42,5597;610,5615
2025-05-01;202505;EMCALI;EMCALI;3;SDL;NT3;100% OPERADOR;267,4359;56,7575;94,3737;69,6003;19,6514;42,5597;550,3785
2025-06-01;202506;EMCALI;EMCALI;1;SDL;NT1;100% OPERADOR;262,0669;54,6881;266,0141;68,0343;44,7327;78,348;773,8841
2025-06-01;202506;EMCALI;EMCALI;2;SDL;NT2;100% OPERADOR;262,0669;54,6881;154,2832;68,0343;20,7522;78,348;638,1727
2025-06-01;202506;EMCALI;EMCALI;3;SDL;NT3;100% OPERADOR;262,0669;54,6881;95,1501;68,0343;19,4199;78,348;577,7073
2025-07-01;202507;EMCALI;EMCALI;1;SDL;NT1;100% OPERADOR;255,4616;53,8356;273,2111;68,4012;43,7738;18,7609;713,4442
2025-07-01;202507;EMCALI;EMCALI;2;SDL;NT2;100% OPERADOR;255,4616;53,8356;159,9796;68,4012;20,3486;18,7609;576,7875
2025-07-01;202507;EMCALI;EMCALI;3;SDL;NT3;100% OPERADOR;255,4616;53,8356;98,8312;68,4012;19,0443;18,7609;514,3348
2025-08-01;202508;EMCALI;EMCALI;1;SDL;NT1;100% OPERADOR;286,0948;56,9344;270,2031;67,9193;48,1273;50,6898;779,9687
2025-08-01;202508;EMCALI;EMCALI;2;SDL;NT2;100% OPERADOR;286,0948;56,9344;157,2167;67,9193;22,1389;50,6898;640,9939
2025-08-01;202508;EMCALI;EMCALI;3;SDL;NT3;100% OPERADOR;286,0948;56,9344;97,6252;67,9193;20,6881;50,6898;579,9516
2025-09-01;202509;EMCALI;EMCALI;1;SDL;NT1;100% OPERADOR;306,6615;51,6609;261,9692;68,4137;51,0296;32,2439;771,9788
2025-09-01;202509;EMCALI;EMCALI;2;SDL;NT2;100% OPERADOR;306,6615;51,6609;157,1169;68,4137;23,7727;32,2439;639,8696
2025-09-01;202509;EMCALI;EMCALI;3;SDL;NT3;100% OPERADOR;306,6615;51,6609;95,7967;68,4137;22,246;32,2439;577,0227
2025-10-01;202510;EMCALI;EMCALI;1;SDL;NT1;100% OPERADOR;318,1847;52,9668;266,8794;66,6384;52,6719;28,648;785,9892
2025-10-01;202510;EMCALI;EMCALI;2;SDL;NT2;100% OPERADOR;318,1847;52,9668;160,2665;66,6384;24,4582;28,648;651,1626
2025-10-01;202510;EMCALI;EMCALI;3;SDL;NT3;100% OPERADOR;318,1847;52,9668;95,9796;66,6384;22,8587;28,648;585,2762
2025-11-01;202511;EMCALI;EMCALI;1;SDL;NT1;100% OPERADOR;303,2315;53,2976;270,1619;68,041;50,7437;29,1808;774,6565
2025-11-01;202511;EMCALI;EMCALI;2;SDL;NT2;100% OPERADOR;303,2315;53,2976;160,4765;68,041;23,6238;29,1808;637,8512
2025-11-01;202511;EMCALI;EMCALI;3;SDL;NT3;100% OPERADOR;303,2315;53,2976;95,3808;68,041;22,0931;29,1808;571,2248
2025-12-01;202512;EMCALI;EMCALI;1;SDL;NT1;100% OPERADOR;305,2644;54,1357;263,9275;66,6831;51,9471;19,8286;761,7864
2025-12-01;202512;EMCALI;EMCALI;2;SDL;NT2;100% OPERADOR;305,2644;54,1357;154,0311;66,6831;24,5102;19,8286;624,4531
2025-12-01;202512;EMCALI;EMCALI;3;SDL;NT3;100% OPERADOR;305,2644;54,1357;95,0772;66,6831;22,9632;19,8286;563,9522
2026-01-01;202601;EMCALI;EMCALI;1;SDL;NT1;100% OPERADOR;308,8267;52,2138;258,0001;67,909;52,6011;19,396;758,9467
2026-01-01;202601;EMCALI;EMCALI;2;SDL;NT2;100% OPERADOR;308,8267;52,2138;152,3953;67,909;25,005;19,396;625,7458
2026-01-01;202601;EMCALI;EMCALI;3;SDL;NT3;100% OPERADOR;308,8267;52,2138;94,5266;67,909;23,4542;19,396;566,3263
2026-02-01;202602;EMCALI;EMCALI;1;SDL;NT1;100% OPERADOR;331,6677;54,0552;264,4753;68,0129;55,9602;19,7106;793,8819
2026-02-01;202602;EMCALI;EMCALI;2;SDL;NT2;100% OPERADOR;331,6677;54,0552;159,6149;68,0129;26,4389;19,7106;659,5002
2026-02-01;202602;EMCALI;EMCALI;3;SDL;NT3;100% OPERADOR;331,6677;54,0552;97,3351;68,0129;24,7797;19,7106;595,5612
2026-03-01;202603;EMCALI;EMCALI;1;SDL;NT1;100% OPERADOR;315,2258;57,632;273,5245;69,6211;55,6963;29,7003;801,4
2026-03-01;202603;EMCALI;EMCALI;2;SDL;NT2;100% OPERADOR;315,2258;57,632;162,0249;69,6211;27,0666;29,7003;661,2707
2026-03-01;202603;EMCALI;EMCALI;3;SDL;NT3;100% OPERADOR;315,2258;57,632;101,2606;69,6211;25,454;29,7003;598,8938
2026-04-01;202604;EMCALI;EMCALI;1;SDL;NT1;100% OPERADOR;334,0819;55,9536;277,5855;71,5853;54,7053;26,696;820,6076
2026-04-01;202604;EMCALI;EMCALI;2;SDL;NT2;100% OPERADOR;334,0819;55,9536;165,371;71,5853;25,1117;26,696;678,7995
2026-04-01;202604;EMCALI;EMCALI;3;SDL;NT3;100% OPERADOR;334,0819;55,9536;96,6989;71,5853;23,4425;26,696;608,4582
2026-05-01;202605;EMCALI;EMCALI;1;SDL;NT1;100% OPERADOR;349,5827;38,4611;281,6014;70,5644;54,9099;33,8287;828,9482
2026-05-01;202605;EMCALI;EMCALI;2;SDL;NT2;100% OPERADOR;349,5827;38,4611;168,4248;70,5644;25,4049;33,8287;686,2666
2026-05-01;202605;EMCALI;EMCALI;3;SDL;NT3;100% OPERADOR;349,5827;38,4611;99,0485;70,5644;23,7378;33,8287;615,2232
