Fecha;Ciclo;Operador_Red;Comercializador;Nivel_Tension;Tipo_Red;Comb_NT;Dueno_Red;G;T;D;Cv;PR;R;CU
2010-04-01;201004;EPM;EPM;1;Monomia;Propiedad OR;100% OPERADOR;134,32;20,62;105,25;29,56;26,42;2,36;318,54
2010-04-01;201004;EPM;EPM;2;Fuera de Punta;Nivel 2;100% OPERADOR;133,39;19,63;81,35;29,56;11,38;2,64;277,96
2010-04-01;201004;EPM;EPM;3;Fuera de Punta;Nivel 3;100% OPERADOR;133,39;19,63;40,36;29,56;7,86;2,64;233,43
2010-04-01;201004;EPM;EPM;4;Fuera de Punta;Nivel 4;100% OPERADOR;133,39;19,63;17,31;29,56;5,31;2,64;207,84
2010-05-01;201005;EPM;EPM;1;Monomia;Propiedad OR;100% OPERADOR;133,32;21,85;106,0;29,65;26,45;4,44;321,73
2010-05-01;201005;EPM;EPM;2;Fuera de Punta;Nivel 2;100% OPERADOR;133,24;20,78;80,21;29,65;11,45;4,65;279,99
2010-05-01;201005;EPM;EPM;3;Fuera de Punta;Nivel 3;100% OPERADOR;133,24;20,78;39,03;29,65;7,9;4,65;235,26
2010-05-01;201005;EPM;EPM;4;Fuera de Punta;Nivel 4;100% OPERADOR;133,24;20,78;15,89;29,65;5,34;4,65;209,56
2010-06-01;201006;EPM;EPM;1;Monomia;Propiedad OR;100% OPERADOR;126,68;21,34;113,35;29,72;25,21;7,03;323,34
2010-06-01;201006;EPM;EPM;2;Fuera de Punta;Nivel 2;100% OPERADOR;126,53;20,29;81,58;29,72;10,91;7,55;276,58
2010-06-01;201006;EPM;EPM;3;Fuera de Punta;Nivel 3;100% OPERADOR;126,53;20,29;40,19;29,72;7,53;7,55;231,8
2010-06-01;201006;EPM;EPM;4;Fuera de Punta;Nivel 4;100% OPERADOR;126,53;20,29;16,93;29,72;5,08;7,55;206,1
2010-07-01;201007;EPM;EPM;1;Monomia;Propiedad OR;100% OPERADOR;123,28;21,94;112,98;29,69;24,66;12,39;324,95
2010-07-01;201007;EPM;EPM;2;Fuera de Punta;Nivel 2;100% OPERADOR;122,99;20,9;81,03;29,72;10,67;13,8;279,11
2010-07-01;201007;EPM;EPM;3;Fuera de Punta;Nivel 3;100% OPERADOR;122,99;20,9;39,68;29,72;7,35;13,8;234,44
2010-07-01;201007;EPM;EPM;4;Fuera de Punta;Nivel 4;100% OPERADOR;122,99;20,9;16,44;29,72;4,96;13,8;208,81
2010-08-01;201008;EPM;EPM;1;Monomia;Propiedad OR;100% OPERADOR;122,05;21,24;115,79;29,69;24,32;11,87;324,95
2010-08-01;201008;EPM;EPM;2;Fuera de Punta;Nivel 2;100% OPERADOR;121,58;20,25;81,46;29,69;10,46;12,57;276,0
2010-08-01;201008;EPM;EPM;3;Fuera de Punta;Nivel 3;100% OPERADOR;121,58;20,25;40,36;29,69;7,19;12,57;231,64
2010-08-01;201008;EPM;EPM;4;Fuera de Punta;Nivel 4;100% OPERADOR;121,58;20,25;17,25;29,69;4,84;12,57;206,17
2010-09-01;201009;EPM;EPM;1;Monomia;Propiedad OR;100% OPERADOR;120,81;20,96;118,4;29,73;24,05;11,02;324,95
2010-09-01;201009;EPM;EPM;2;Fuera de Punta;Nivel 2;100% OPERADOR;120,11;19,96;79,75;29,73;10,32;12,15;272,01
2010-09-01;201009;EPM;EPM;3;Fuera de Punta;Nivel 3;100% OPERADOR;120,11;19,96;39,09;29,73;7,09;12,15;228,14
2010-09-01;201009;EPM;EPM;4;Fuera de Punta;Nivel 4;100% OPERADOR;120,11;19,96;16,28;29,73;4,77;12,15;203,0
2010-10-01;201010;EPM;EPM;1;Monomia;Propiedad OR;100% OPERADOR;121,85;21,18;119,34;29,73;24,26;8,61;324,95
2010-10-01;201010;EPM;EPM;2;Fuera de Punta;Nivel 2;100% OPERADOR;121,7;20,2;79,51;29,73;10,45;9,09;270,67
2010-10-01;201010;EPM;EPM;3;Fuera de Punta;Nivel 3;100% OPERADOR;121,7;20,2;39,08;29,73;7,18;9,09;226,97
2010-10-01;201010;EPM;EPM;4;Fuera de Punta;Nivel 4;100% OPERADOR;121,7;20,2;16,39;29,73;4,83;9,09;201,93
2010-11-01;201011;EPM;EPM;1;Monomia;Propiedad OR;100% OPERADOR;121,56;20,38;125,16;29,73;24,08;4,05;324,95
2010-11-01;201011;EPM;EPM;2;Fuera de Punta;Nivel 2;100% OPERADOR;121,5;19,45;80,07;29,73;10,39;4,31;265,44
2010-11-01;201011;EPM;EPM;3;Fuera de Punta;Nivel 3;100% OPERADOR;121,5;19,45;39,77;29,73;7,14;4,31;221,9
2010-11-01;201011;EPM;EPM;4;Fuera de Punta;Nivel 4;100% OPERADOR;121,5;19,45;17,15;29,73;4,8;4,31;196,94
2010-12-01;201012;EPM;EPM;1;Monomia;Propiedad OR;100% OPERADOR;122,87;21,02;124,86;29,79;24,43;6,86;329,83
2010-12-01;201012;EPM;EPM;2;Fuera de Punta;Nivel 2;100% OPERADOR;122,71;20,09;79,85;29,79;10,54;7,59;270,56
2010-12-01;201012;EPM;EPM;3;Fuera de Punta;Nivel 3;100% OPERADOR;122,71;20,09;39,09;29,79;7,25;7,59;226,51
2010-12-01;201012;EPM;EPM;4;Fuera de Punta;Nivel 4;100% OPERADOR;122,71;20,09;16,22;29,79;4,88;7,59;201,27
2011-01-01;201101;EPM;EPM;1;Monomia;Propiedad OR;100% OPERADOR;123,04;21,02;124,86;30,83;24,44;10,31;334,49
2011-01-01;201101;EPM;EPM;2;Fuera de Punta;Nivel 2;100% OPERADOR;122,6;19,93;81,52;30,83;10,5;11,61;276,98
2011-01-01;201101;EPM;EPM;3;Fuera de Punta;Nivel 3;100% OPERADOR;122,6;19,93;40,09;30,83;7,22;11,61;232,27
2011-01-01;201101;EPM;EPM;4;Fuera de Punta;Nivel 4;100% OPERADOR;122,6;19,93;16,84;30,83;4,85;11,61;206,65
2011-02-01;201102;EPM;EPM;1;Monomia;Propiedad OR;100% OPERADOR;127,85;21,49;123,1;31,13;25,24;8,74;337,54
2011-02-01;201102;EPM;EPM;2;Fuera de Punta;Nivel 2;100% OPERADOR;127,08;20,46;82,27;31,13;10,79;9,45;281,19
2011-02-01;201102;EPM;EPM;3;Fuera de Punta;Nivel 3;100% OPERADOR;127,08;20,46;40,35;31,13;7,4;9,45;235,87
2011-02-01;201102;EPM;EPM;4;Fuera de Punta;Nivel 4;100% OPERADOR;127,08;20,46;16,82;31,13;4,95;9,45;209,89
2011-03-01;201103;EPM;EPM;1;Monomia;Propiedad OR;100% OPERADOR;127,71;23,13;124,64;31,33;25,48;5,25;337,54
2011-03-01;201103;EPM;EPM;2;Fuera de Punta;Nivel 2;100% OPERADOR;126,99;22,04;83,62;31,33;10,89;5,65;280,52
2011-03-01;201103;EPM;EPM;3;Fuera de Punta;Nivel 3;100% OPERADOR;126,99;22,04;41,23;31,33;7,47;5,65;234,71
2011-03-01;201103;EPM;EPM;4;Fuera de Punta;Nivel 4;100% OPERADOR;126,99;22,04;17,45;31,33;4,99;5,65;208,45
2011-04-01;201104;EPM;EPM;1;Monomia;Propiedad OR;100% OPERADOR;124,88;21,16;126,67;31,42;24,74;8,68;337,54
2011-04-01;201104;EPM;EPM;2;Fuera de Punta;Nivel 2;100% OPERADOR;123,68;20,25;85,32;31,42;10,57;9,28;280,53
2011-04-01;201104;EPM;EPM;3;Fuera de Punta;Nivel 3;100% OPERADOR;123,68;20,25;42,54;31,42;7,26;9,28;234,44
2011-04-01;201104;EPM;EPM;4;Fuera de Punta;Nivel 4;100% OPERADOR;123,68;20,25;18,52;31,42;4,87;9,28;208,03
2011-05-01;201105;EPM;EPM;1;Monomia;Propiedad OR;100% OPERADOR;126,58;22,34;125,29;31,43;25,24;9,02;339,91
2011-05-01;201105;EPM;EPM;2;Fuera de Punta;Nivel 2;100% OPERADOR;125,1;21,21;83,71;31,43;10,76;9,86;282,07
2011-05-01;201105;EPM;EPM;3;Fuera de Punta;Nivel 3;100% OPERADOR;125,1;21,21;40,95;31,43;7,4;9,86;235,95
2011-05-01;201105;EPM;EPM;4;Fuera de Punta;Nivel 4;100% OPERADOR;125,1;21,21;16,98;31,43;4,96;9,86;209,55
2011-06-01;201106;EPM;EPM;1;Monomia;Propiedad OR;100% OPERADOR;129,77;21,34;125,25;31,56;25,62;13,16;346,71
2011-06-01;201106;EPM;EPM;2;Fuera de Punta;Nivel 2;100% OPERADOR;128,59;20,21;85,03;31,56;10,96;14,72;291,06
2011-06-01;201106;EPM;EPM;3;Fuera de Punta;Nivel 3;100% OPERADOR;128,59;20,21;42,01;31,56;7,53;14,72;244,62
2011-06-01;201106;EPM;EPM;4;Fuera de Punta;Nivel 4;100% OPERADOR;128,59;20,21;17,89;31,56;5,06;14,72;218,03
2011-07-01;201107;EPM;EPM;1;Monomia;Propiedad OR;100% OPERADOR;131,62;22,06;125,16;31,59;26,13;12,22;348,79
2011-07-01;201107;EPM;EPM;2;Fuera de Punta;Nivel 2;100% OPERADOR;130,45;20,89;83,98;31,59;11,2;13,12;291,22
2011-07-01;201107;EPM;EPM;3;Fuera de Punta;Nivel 3;100% OPERADOR;130,45;20,89;41,04;31,59;7,71;13,12;244,8
2011-07-01;201107;EPM;EPM;4;Fuera de Punta;Nivel 4;100% OPERADOR;130,45;20,89;16,97;31,59;5,19;13,12;218,21
2011-08-01;201108;EPM;EPM;1;Monomia;Propiedad OR;100% OPERADOR;130,7;21,64;126,62;31,67;25,86;13,34;349,83
2011-08-01;201108;EPM;EPM;2;Fuera de Punta;Nivel 2;100% OPERADOR;129,88;20,51;84,39;31,67;11,09;14,41;291,96
2011-08-01;201108;EPM;EPM;3;Fuera de Punta;Nivel 3;100% OPERADOR;129,88;20,51;41,68;31,67;7,63;14,41;245,78
2011-08-01;201108;EPM;EPM;4;Fuera de Punta;Nivel 4;100% OPERADOR;129,88;20,51;17,73;31,67;5,13;14,41;219,33
2011-10-01;201110;EPM;EPM;1;Monomia;Propiedad OR;100% OPERADOR;130,6;21,28;131,48;31,74;25,8;11,38;352,28
2011-10-01;201110;EPM;EPM;2;Fuera de Punta;Nivel 2;100% OPERADOR;129,12;20,26;83,94;31,74;11,03;12,75;288,84
2011-10-01;201110;EPM;EPM;3;Fuera de Punta;Nivel 3;100% OPERADOR;129,12;20,26;40,93;31,74;7,59;12,75;242,4
2011-10-01;201110;EPM;EPM;4;Fuera de Punta;Nivel 4;100% OPERADOR;129,12;20,26;16,83;31,74;5,11;12,75;215,81
2011-11-01;201111;EPM;EPM;1;Monomia;Propiedad OR;100% OPERADOR;130,79;20,98;131,2;31,79;25,74;18,82;359,33
2011-11-01;201111;EPM;EPM;2;Fuera de Punta;Nivel 2;100% OPERADOR;129,38;19,98;84,95;31,79;11,0;20,0;297,1
2011-11-01;201111;EPM;EPM;3;Fuera de Punta;Nivel 3;100% OPERADOR;129,38;19,98;41,57;31,79;7,56;20,0;250,28
2011-11-01;201111;EPM;EPM;4;Fuera de Punta;Nivel 4;100% OPERADOR;129,38;19,98;17,25;31,79;5,08;20,0;223,48
