Fecha;Ciclo;Operador_Red;Comercializador;Nivel_Tension;Tipo_Red;Comb_NT;Dueno_Red;G;T;D;Cv;PR;R;CU
2025-01-01;202501;ESSA;ESSA;1;SDL;NT1;100% OPERADOR;403,9;56,03;292,11;132,23;85,91;14,46;984,65
2025-01-01;202501;ESSA;ESSA;2;SDL;NT2;100% OPERADOR;403,9;56,03;186,89;116,16;31,23;14,46;808,68
2025-01-01;202501;ESSA;ESSA;3;SDL;NT3;100% OPERADOR;403,9;56,03;88,27;117,7;23,67;14,46;704,04
2025-01-01;202501;ESSA;ESSA;4;SDL;NT4;100% OPERADOR;403,9;56,03;35,96;91,99;14,68;14,46;617,03
2025-02-01;202502;ESSA;ESSA;1;SDL;NT1;100% OPERADOR;400,59;49,85;293,51;132,81;84,98;14,64;976,37
2025-02-01;202502;ESSA;ESSA;2;SDL;NT2;100% OPERADOR;400,59;49,85;187,98;115,73;31,29;14,64;800,07
2025-02-01;202502;ESSA;ESSA;3;SDL;NT3;100% OPERADOR;400,59;49,85;87,66;118,32;23,86;14,64;694,92
2025-02-01;202502;ESSA;ESSA;4;SDL;NT4;100% OPERADOR;400,59;49,85;36,84;91,73;15,04;14,64;608,69
2025-03-01;202503;ESSA;ESSA;1;SDL;NT1;100% OPERADOR;402,38;56,28;303,55;133,88;86,84;27,04;1009,97
2025-03-01;202503;ESSA;ESSA;2;SDL;NT2;100% OPERADOR;402,38;56,28;197,8;118,09;32,14;27,04;833,72
2025-03-01;202503;ESSA;ESSA;3;SDL;NT3;100% OPERADOR;402,38;56,28;89,85;119,94;24,58;27,04;720,06
2025-03-01;202503;ESSA;ESSA;4;SDL;NT4;100% OPERADOR;402,38;56,28;39,89;93,35;15,59;27,04;634,53
2025-04-01;202504;ESSA;ESSA;1;SDL;NT1;100% OPERADOR;294,64;62,2;322,13;137,87;67,71;42,26;926,82
2025-04-01;202504;ESSA;ESSA;2;SDL;NT2;100% OPERADOR;294,64;62,2;207,54;120,64;25,22;42,26;752,51
2025-04-01;202504;ESSA;ESSA;3;SDL;NT3;100% OPERADOR;294,64;62,2;91,38;122,05;19,35;42,26;631,87
2025-04-01;202504;ESSA;ESSA;4;SDL;NT4;100% OPERADOR;294,64;62,2;36,18;96,06;12,37;42,26;543,71
2025-05-01;202505;ESSA;ESSA;1;SDL;NT1;100% OPERADOR;274,74;56,76;326,95;123,78;62,27;43,8;888,29
2025-05-01;202505;ESSA;ESSA;2;SDL;NT2;100% OPERADOR;274,74;56,76;206,27;107,16;22,95;43,8;711,67
2025-05-01;202505;ESSA;ESSA;3;SDL;NT3;100% OPERADOR;274,74;56,76;90,89;108,37;17,5;43,8;592,05
2025-05-01;202505;ESSA;ESSA;4;SDL;NT4;100% OPERADOR;274,74;56,76;36,1;83,91;11,04;43,8;506,35
2025-06-01;202506;ESSA;ESSA;1;SDL;NT1;100% OPERADOR;271,05;54,69;311,0;126,86;61,38;49,17;874,14
2025-06-01;202506;ESSA;ESSA;2;SDL;NT2;100% OPERADOR;271,05;54,69;198,81;110,75;22,74;49,17;707,2
2025-06-01;202506;ESSA;ESSA;3;SDL;NT3;100% OPERADOR;271,05;54,69;88,65;108,87;17,39;49,17;589,82
2025-06-01;202506;ESSA;ESSA;4;SDL;NT4;100% OPERADOR;271,05;54,69;35,36;87,72;11,04;49,17;509,03
2025-07-01;202507;ESSA;ESSA;1;SDL;NT1;100% OPERADOR;260,36;53,84;308,58;127,31;58,83;52,55;861,47
2025-07-01;202507;ESSA;ESSA;2;SDL;NT2;100% OPERADOR;260,36;53,84;202,82;111,44;21,64;52,55;702,64
2025-07-01;202507;ESSA;ESSA;3;SDL;NT3;100% OPERADOR;260,36;53,84;89,82;113,7;16,49;52,55;586,76
2025-07-01;202507;ESSA;ESSA;4;SDL;NT4;100% OPERADOR;260,36;53,84;37,07;88,01;10,38;52,55;502,21
2025-08-01;202508;ESSA;ESSA;1;SDL;NT1;100% OPERADOR;277,0;56,93;320,9;128,2;62,85;49,73;895,62
2025-08-01;202508;ESSA;ESSA;2;SDL;NT2;100% OPERADOR;277,0;56,93;207,01;111,38;23,23;49,73;725,28
2025-08-01;202508;ESSA;ESSA;3;SDL;NT3;100% OPERADOR;277,0;56,93;90,42;113,7;17,74;49,73;605,53
2025-08-01;202508;ESSA;ESSA;4;SDL;NT4;100% OPERADOR;277,0;56,93;34,88;88,33;11,23;49,73;518,11
2025-09-01;202509;ESSA;ESSA;1;SDL;NT1;100% OPERADOR;298,34;51,66;325,33;127,34;66,72;33,14;902,53
2025-09-01;202509;ESSA;ESSA;2;SDL;NT2;100% OPERADOR;298,34;51,66;204,37;110,65;25,01;33,14;723,17
2025-09-01;202509;ESSA;ESSA;3;SDL;NT3;100% OPERADOR;298,34;51,66;91,11;110,87;19,23;33,14;604,35
2025-09-01;202509;ESSA;ESSA;4;SDL;NT4;100% OPERADOR;298,34;51,66;35,46;87,87;12,38;33,14;518,84
2025-10-01;202510;ESSA;ESSA;1;SDL;NT1;100% OPERADOR;312,15;52,97;314,64;126,74;69,43;29,35;905,28
2025-10-01;202510;ESSA;ESSA;2;SDL;NT2;100% OPERADOR;312,15;52,97;200,78;109,37;25,91;29,35;730,54
2025-10-01;202510;ESSA;ESSA;3;SDL;NT3;100% OPERADOR;312,15;52,97;90,7;110,48;19,88;29,35;615,53
2025-10-01;202510;ESSA;ESSA;4;SDL;NT4;100% OPERADOR;312,15;52,97;35,76;87,73;12,73;29,35;530,69
2025-11-01;202511;ESSA;ESSA;1;SDL;NT1;100% OPERADOR;289,43;53,3;307,37;128,39;65,32;30,34;874,15
2025-11-01;202511;ESSA;ESSA;2;SDL;NT2;100% OPERADOR;289,43;53,3;202,27;111,14;24,48;30,34;710,96
2025-11-01;202511;ESSA;ESSA;3;SDL;NT3;100% OPERADOR;289,43;53,3;90,16;115,88;18,82;30,34;597,93
2025-11-01;202511;ESSA;ESSA;4;SDL;NT4;100% OPERADOR;289,43;53,3;35,07;88,99;12,11;30,34;509,24
2025-12-01;202512;ESSA;ESSA;1;SDL;NT1;100% OPERADOR;288,84;54,14;315,57;86,7;66,22;20,61;832,07
2025-12-01;202512;ESSA;ESSA;2;SDL;NT2;100% OPERADOR;288,84;54,14;204,7;86,7;25,21;20,61;680,18
2025-12-01;202512;ESSA;ESSA;3;SDL;NT3;100% OPERADOR;288,84;54,14;90,75;86,7;19,52;20,61;560,54
2025-12-01;202512;ESSA;ESSA;4;SDL;NT4;100% OPERADOR;288,84;54,14;35,84;86,7;12,78;20,61;498,9
2026-01-01;202601;ESSA;ESSA;1;SDL;NT1;100% OPERADOR;299,24;52,97;317,12;88,68;68,36;20,09;846,47
