Fecha;Ciclo;Operador_Red;Comercializador;Nivel_Tension;Tipo_Red;Comb_NT;Dueno_Red;G;T;D;Cv;PR;R;CU
2025-01-01;202501;AFINIA - CARIBE MAR;NEU;1;SDL;NT1;100% OPERADOR;423,76;56,03;213,88;37,3;181,17;4,33;916,47
2025-01-01;202501;AIR-E - CARIBE SOL;NEU;1;SDL;NT1;100% OPERADOR;423,76;56,03;174,68;33,14;117,18;4,33;809,13
2025-01-01;202501;CEDENAR - NARIÑO;NEU;1;SDL;NT1;100% OPERADOR;426,44;56,03;257,74;31,81;80,08;4,33;856,44
2025-01-01;202501;CELSIA - TOLIMA;NEU;1;SDL;NT1;100% OPERADOR;424,55;56,03;280,91;27,72;110,78;4,33;904,32
2025-01-01;202501;CELSIA - VALLE DEL CAUCA;NEU;1;SDL;NT1;100% OPERADOR;424,11;56,03;257,74;30,34;78,44;4,33;850,99
2025-01-01;202501;CENS - CÚCUTA;NEU;1;SDL;NT1;100% OPERADOR;424,18;56,03;292,11;26,54;91,56;4,33;894,75
2025-01-01;202501;CEO - CAUCA;NEU;1;SDL;NT1;100% OPERADOR;424,99;56,03;257,74;33,63;93,37;4,33;870,1
2025-01-01;202501;CETSA - TULUA;NEU;1;SDL;NT1;100% OPERADOR;423,25;56,03;257,74;28,18;74,37;4,33;843,91
2025-01-01;202501;CHEC - CALDAS;NEU;1;SDL;NT1;100% OPERADOR;424,77;56,03;292,11;28,35;77,8;4,33;883,4
2025-01-01;202501;CODENSA - BOGOTÁ/CUNDINAMARCA;NEU;1;SDL;NT1;100% OPERADOR;423,18;56,03;280,91;27,78;80,7;4,33;872,93
2025-01-01;202501;DISPAC - CHOCO;NEU;1;SDL;NT1;100% OPERADOR;425,77;56,03;0,0;25,6;75,32;4,33;587,05
2025-01-01;202501;EBSA - BOYACÁ;NEU;1;SDL;NT1;100% OPERADOR;425,41;56,03;280,91;29,27;91,0;4,33;886,95
2025-01-01;202501;EDEQ - QUINDÍO;NEU;1;SDL;NT1;100% OPERADOR;423,55;56,03;292,11;28,41;77,36;4,33;881,79
2025-01-01;202501;EEBAJOPUTUM - BAJO PUTUMAYO;NEU;1;SDL;NT1;100% OPERADOR;427,06;56,03;249,01;26,54;60,17;4,33;823,14
2025-01-01;202501;EEP - CARTAGO;NEU;1;SDL;NT1;100% OPERADOR;422,99;56,03;257,74;29,55;103,0;4,33;873,64
2025-01-01;202501;EEP - RISARALDA;NEU;1;SDL;NT1;100% OPERADOR;423,04;56,03;292,11;28,27;73,85;4,33;877,62
2025-01-01;202501;ELECTRIFICADORA - HUILA;NEU;1;SDL;NT1;100% OPERADOR;424,43;56,03;280,91;31,19;97,45;4,33;894,34
2025-01-01;202501;EMCALI - CALI;NEU;1;SDL;NT1;100% OPERADOR;423,35;56,03;257,74;25,83;76,07;4,33;843,36
2025-01-01;202501;EMSA - META;NEU;1;SDL;NT1;100% OPERADOR;424,12;56,03;249,01;26,02;75,64;4,33;835,15
2025-01-01;202501;ENERCA - CASANARE;NEU;1;SDL;NT1;100% OPERADOR;422,91;56,03;249,01;79,06;98,56;4,33;909,9
2025-01-01;202501;EPM - ANTIOQUIA;NEU;1;SDL;NT1;100% OPERADOR;423,4;56,03;292,11;27,05;83,58;4,33;886,5
2025-01-01;202501;ESSA - SANTANDER;NEU;1;SDL;NT1;100% OPERADOR;423,77;56,03;292,11;28,93;89,44;4,33;894,61
2025-01-01;202501;AFINIA - CARIBE MAR;NEU;2;SDL;NT2;100% OPERADOR;423,76;56,03;136,13;37,3;51,69;4,33;709,24
2025-01-01;202501;AIR-E - CARIBE SOL;NEU;2;SDL;NT2;100% OPERADOR;423,76;56,03;116,27;33,14;48,79;4,33;682,33
2025-01-01;202501;CEDENAR - NARIÑO;NEU;2;SDL;NT2;100% OPERADOR;426,44;56,03;153,33;31,81;26,94;4,33;698,89
2025-01-01;202501;CELSIA - TOLIMA;NEU;2;SDL;NT2;100% OPERADOR;424,55;56,03;168,8;27,72;47,66;4,33;729,1
2025-01-01;202501;CELSIA - VALLE DEL CAUCA;NEU;2;SDL;NT2;100% OPERADOR;424,11;56,03;153,33;30,34;32,74;4,33;700,88
2025-01-01;202501;CENS - CÚCUTA;NEU;2;SDL;NT2;100% OPERADOR;424,18;56,03;186,89;26,54;28,66;4,33;726,64
2025-01-01;202501;CEO - CAUCA;NEU;2;SDL;NT2;100% OPERADOR;424,99;56,03;153,33;33,63;35,4;4,33;707,72
2025-01-01;202501;CETSA - TULUA;NEU;2;SDL;NT2;100% OPERADOR;423,25;56,03;153,33;28,18;31,23;4,33;696,36
2025-01-01;202501;CHEC - CALDAS;NEU;2;SDL;NT2;100% OPERADOR;424,77;56,03;186,89;28,35;34,66;4,33;735,04
2025-01-01;202501;CODENSA - BOGOTÁ/CUNDINAMARCA;NEU;2;SDL;NT2;100% OPERADOR;423,18;56,03;168,8;27,78;26,82;4,33;706,94
2025-01-01;202501;DISPAC - CHOCO;NEU;2;SDL;NT2;100% OPERADOR;425,77;56,03;0,0;25,6;33,06;4,33;544,79
2025-01-01;202501;EBSA - BOYACÁ;NEU;2;SDL;NT2;100% OPERADOR;425,41;56,03;168,8;29,27;25,89;4,33;709,74
2025-01-01;202501;EDEQ - QUINDÍO;NEU;2;SDL;NT2;100% OPERADOR;423,55;56,03;186,89;28,41;32,33;4,33;731,54
2025-01-01;202501;EEBAJOPUTUM - BAJO PUTUMAYO;NEU;2;SDL;NT2;100% OPERADOR;427,06;56,03;171,41;26,54;23,29;4,33;708,66
2025-01-01;202501;EEP - CARTAGO;NEU;2;SDL;NT2;100% OPERADOR;422,99;56,03;153,33;29,55;34,6;4,33;700,83
2025-01-01;202501;EEP - RISARALDA;NEU;2;SDL;NT2;100% OPERADOR;423,04;56,03;186,89;28,27;29,93;4,33;728,48
2025-01-01;202501;ELECTRIFICADORA - HUILA;NEU;2;SDL;NT2;100% OPERADOR;424,43;56,03;168,8;31,19;35,47;4,33;720,26
